n, node,bify,bify+ses,bify+lavamoat w/ harden
1,0.270839754,0.506890039,1.152524358,1.554314499
5000000,1.080548539,1.332637251,3.465403408,2.051045394
10000000,1.871744471,2.132283573,6.201483796,2.885727375
25000000,4.29988861,4.517503487,14.359376346,5.267071939
50000000,12.329019703,12.581128004,31.088257044,13.381830725
75000000,20.283455815,20.478435884,47.394106781,21.52152362
100000000,25.221105856,25.230277565,59.533260667,25.859237654
