n, node,bify,bify+ses,bify+lavamoat
0,0.246597923,0.219415291,0.476549392,0.452586226
500000,0.308194231,0.30834058,0.758413939,0.605603857
1000000,0.387711306,0.388353152,1.052558046,0.722950322
2500000,0.638339337,0.62468927,1.850212351,1.07740701
5000000,1.062915069,1.026592429,3.273046655,1.618040201
10000000,1.819749397,1.809161624,6.083843555,2.669140728
50000000,12.271546623,12.242516735,29.877976607,18.492801445
