n, node,bify,bify+ses,bify+lavamoat w/ harden
1,0.060941491,0.102375166,0.247853946,0.320585535
50000,0.159851798,0.110411387,0.24457597,0.328142862
100000,0.256304505,0.112251029,0.258320498,0.327235406
250000,0.532567825,0.124722231,0.257549472,0.339510833
500000,1.056760327,0.141494958,0.283308263,0.399910186
750000,1.522234705,0.153891459,0.314735484,0.469582189
1000000,1.988694498,0.170158071,0.338268178,0.526465392
